RepRapFirmware height map file v2 generated at 2020-04-07 10:23, min error -0.513, max error 0.567, mean 0.001, deviation 0.382
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
30.00,270.00,30.00,270.00,-1.00,80.00,80.00,4,4
 -0.495, -0.230,  0.130,  0.428
 -0.513, -0.180,  0.168,  0.480
 -0.498, -0.163,  0.222,  0.558
 -0.493, -0.188,  0.222,  0.567
